scope_code,scope_name,year,series_id,series_name,value,status,source,source_url,source_note
MAE,G7 aggregate,2007,overall_balance,Overall balance,-2.2230,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2007,primary_balance,Primary balance,-0.2230,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2007,revenue,Revenue,36.0290,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2007,primary_expenditure,Primary expenditure,36.2520,actual,IMF WEO / derived,https://data.imf.org/Datasets/WEO,Primary expenditure = revenue - primary balance.
MAE,G7 aggregate,2007,gross_debt,Gross debt,77.8420,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2007,net_debt,Net debt,55.4370,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2008,overall_balance,Overall balance,-4.4890,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2008,primary_balance,Primary balance,-2.4940,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2008,revenue,Revenue,35.5960,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2008,primary_expenditure,Primary expenditure,38.0900,actual,IMF WEO / derived,https://data.imf.org/Datasets/WEO,Primary expenditure = revenue - primary balance.
MAE,G7 aggregate,2008,gross_debt,Gross debt,84.8330,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2008,net_debt,Net debt,61.3040,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2009,overall_balance,Overall balance,-9.8070,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2009,primary_balance,Primary balance,-7.8950,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2009,revenue,Revenue,34.1940,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2009,primary_expenditure,Primary expenditure,42.0890,actual,IMF WEO / derived,https://data.imf.org/Datasets/WEO,Primary expenditure = revenue - primary balance.
MAE,G7 aggregate,2009,gross_debt,Gross debt,99.5800,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2009,net_debt,Net debt,72.6880,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2010,overall_balance,Overall balance,-8.7850,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2010,primary_balance,Primary balance,-6.7830,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2010,revenue,Revenue,34.0390,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2010,primary_expenditure,Primary expenditure,40.8220,actual,IMF WEO / derived,https://data.imf.org/Datasets/WEO,Primary expenditure = revenue - primary balance.
MAE,G7 aggregate,2010,gross_debt,Gross debt,107.2870,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2010,net_debt,Net debt,78.6000,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2011,overall_balance,Overall balance,-7.3710,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2011,primary_balance,Primary balance,-5.1990,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2011,revenue,Revenue,34.6920,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2011,primary_expenditure,Primary expenditure,39.8910,actual,IMF WEO / derived,https://data.imf.org/Datasets/WEO,Primary expenditure = revenue - primary balance.
MAE,G7 aggregate,2011,gross_debt,Gross debt,111.8770,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2011,net_debt,Net debt,84.0630,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2012,overall_balance,Overall balance,-6.4920,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2012,primary_balance,Primary balance,-4.3860,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2012,revenue,Revenue,34.7360,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2012,primary_expenditure,Primary expenditure,39.1220,actual,IMF WEO / derived,https://data.imf.org/Datasets/WEO,Primary expenditure = revenue - primary balance.
MAE,G7 aggregate,2012,gross_debt,Gross debt,115.9770,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2012,net_debt,Net debt,87.3040,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2013,overall_balance,Overall balance,-4.3390,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2013,primary_balance,Primary balance,-2.4940,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2013,revenue,Revenue,36.2310,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2013,primary_expenditure,Primary expenditure,38.7250,actual,IMF WEO / derived,https://data.imf.org/Datasets/WEO,Primary expenditure = revenue - primary balance.
MAE,G7 aggregate,2013,gross_debt,Gross debt,114.6350,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2013,net_debt,Net debt,85.9690,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2014,overall_balance,Overall balance,-3.6060,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2014,primary_balance,Primary balance,-1.7800,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2014,revenue,Revenue,36.3920,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2014,primary_expenditure,Primary expenditure,38.1720,actual,IMF WEO / derived,https://data.imf.org/Datasets/WEO,Primary expenditure = revenue - primary balance.
MAE,G7 aggregate,2014,gross_debt,Gross debt,113.7050,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2014,net_debt,Net debt,85.4360,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2015,overall_balance,Overall balance,-3.0090,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2015,primary_balance,Primary balance,-1.3140,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2015,revenue,Revenue,36.1680,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2015,primary_expenditure,Primary expenditure,37.4820,actual,IMF WEO / derived,https://data.imf.org/Datasets/WEO,Primary expenditure = revenue - primary balance.
MAE,G7 aggregate,2015,gross_debt,Gross debt,113.1960,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2015,net_debt,Net debt,85.1310,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2016,overall_balance,Overall balance,-3.3180,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2016,primary_balance,Primary balance,-1.5770,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2016,revenue,Revenue,35.8530,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2016,primary_expenditure,Primary expenditure,37.4300,actual,IMF WEO / derived,https://data.imf.org/Datasets/WEO,Primary expenditure = revenue - primary balance.
MAE,G7 aggregate,2016,gross_debt,Gross debt,115.6180,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2016,net_debt,Net debt,86.5580,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2017,overall_balance,Overall balance,-3.3460,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
