date,country,country_name,spread_bp,source,source_url
1998-01-01,FR,France,0,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
1998-02-01,FR,France,4,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
1998-03-01,FR,France,5,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
1998-04-01,FR,France,6,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
1998-05-01,FR,France,5,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
1998-06-01,FR,France,6,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
1998-07-01,FR,France,10,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
1998-08-01,FR,France,10,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
1998-09-01,FR,France,14,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
1998-10-01,FR,France,11,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
1998-11-01,FR,France,6,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
1998-12-01,FR,France,5,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
1999-01-01,FR,France,7,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
1999-02-01,FR,France,8,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
1999-03-01,FR,France,9,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
1999-04-01,FR,France,13,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
1999-05-01,FR,France,15,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
1999-06-01,FR,France,11,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
1999-07-01,FR,France,13,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
1999-08-01,FR,France,13,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
1999-09-01,FR,France,15,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
1999-10-01,FR,France,14,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
1999-11-01,FR,France,11,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
1999-12-01,FR,France,12,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2000-01-01,FR,France,12,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2000-02-01,FR,France,11,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2000-03-01,FR,France,10,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2000-04-01,FR,France,11,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2000-05-01,FR,France,12,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2000-06-01,FR,France,13,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2000-07-01,FR,France,13,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2000-08-01,FR,France,15,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2000-09-01,FR,France,16,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2000-10-01,FR,France,15,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2000-11-01,FR,France,14,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2000-12-01,FR,France,15,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2001-01-01,FR,France,14,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2001-02-01,FR,France,15,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2001-03-01,FR,France,17,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2001-04-01,FR,France,17,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2001-05-01,FR,France,16,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2001-06-01,FR,France,15,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2001-07-01,FR,France,13,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2001-08-01,FR,France,13,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2001-09-01,FR,France,13,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2001-10-01,FR,France,12,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2001-11-01,FR,France,12,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2001-12-01,FR,France,13,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2002-01-01,FR,France,7,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2002-02-01,FR,France,7,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2002-03-01,FR,France,8,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2002-04-01,FR,France,9,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2002-05-01,FR,France,9,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2002-06-01,FR,France,9,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2002-07-01,FR,France,9,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2002-08-01,FR,France,8,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2002-09-01,FR,France,8,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2002-10-01,FR,France,9,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2002-11-01,FR,France,5,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2002-12-01,FR,France,5,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2003-01-01,FR,France,4,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2003-02-01,FR,France,6,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2003-03-01,FR,France,10,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2003-04-01,FR,France,7,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2003-05-01,FR,France,7,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2003-06-01,FR,France,7,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2003-07-01,FR,France,4,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2003-08-01,FR,France,3,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2003-09-01,FR,France,6,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2003-10-01,FR,France,6,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2003-11-01,FR,France,6,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2003-12-01,FR,France,5,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2004-01-01,FR,France,3,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2004-02-01,FR,France,3,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2004-03-01,FR,France,7,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2004-04-01,FR,France,8,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2004-05-01,FR,France,9,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2004-06-01,FR,France,8,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2004-07-01,FR,France,3,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2004-08-01,FR,France,3,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2004-09-01,FR,France,7,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2004-10-01,FR,France,9,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2004-11-01,FR,France,8,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2004-12-01,FR,France,6,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2005-01-01,FR,France,2,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2005-02-01,FR,France,6,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2005-03-01,FR,France,5,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2005-04-01,FR,France,6,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2005-05-01,FR,France,8,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2005-06-01,FR,France,7,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2005-07-01,FR,France,7,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2005-08-01,FR,France,7,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2005-09-01,FR,France,6,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2005-10-01,FR,France,5,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2005-11-01,FR,France,5,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2005-12-01,FR,France,4,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2006-01-01,FR,France,2,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2006-02-01,FR,France,4,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2006-03-01,FR,France,5,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2006-04-01,FR,France,6,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2006-05-01,FR,France,4,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2006-06-01,FR,France,5,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2006-07-01,FR,France,2,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2006-08-01,FR,France,2,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2006-09-01,FR,France,2,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2006-10-01,FR,France,2,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2006-11-01,FR,France,3,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
2006-12-01,FR,France,4,Eurostat / ECB,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/default/table
